HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Albacete,15.5,12.833333333333334,4.833333333333333,5.166666666666667,10.0,9.833333333333334,5.166666666666667,5.333333333333333,1.6666666666666667,1.6666666666666667,0.16666666666666666,0.0,0.5974842767295597,0.49475890985324944
Almeria,19.666666666666668,12.0,8.0,5.166666666666667,13.833333333333334,10.666666666666666,7.333333333333333,4.0,2.5,3.3333333333333335,0.16666666666666666,0.3333333333333333,0.8710691823899371,0.5259433962264151
Andorra,13.666666666666666,11.166666666666666,5.0,3.5,14.333333333333334,15.666666666666666,6.166666666666667,3.6666666666666665,2.3333333333333335,3.0,0.16666666666666666,0.0,0.6540880503144654,0.5214884696016772
Burgos,10.833333333333334,8.666666666666666,3.1666666666666665,2.6666666666666665,13.333333333333334,15.666666666666666,3.1666666666666665,3.0,3.1666666666666665,3.3333333333333335,0.0,0.3333333333333333,0.660377358490566,0.4190251572327044
Cadiz,11.833333333333334,10.5,2.8333333333333335,2.6666666666666665,13.333333333333334,13.5,5.833333333333333,2.5,2.6666666666666665,2.6666666666666665,0.0,0.3333333333333333,0.7830188679245284,0.39570230607966456
Castellon,15.5,9.5,5.333333333333333,4.0,13.666666666666666,16.166666666666668,7.333333333333333,4.333333333333333,3.6666666666666665,3.8333333333333335,0.5,0.3333333333333333,0.8679245283018867,0.4520440251572327
Ceuta,11.4,7.4,4.4,2.0,14.0,12.6,5.8,3.2,2.6,1.6,0.0,0.4,0.4025157232704403,0.4276729559748428
Cordoba,15.333333333333334,11.333333333333334,4.833333333333333,4.0,16.166666666666668,14.833333333333334,5.0,3.3333333333333335,2.6666666666666665,2.0,0.16666666666666666,0.0,0.6415094339622641,0.5338050314465409
Cultural Leonesa,11.166666666666666,10.333333333333334,3.1666666666666665,4.333333333333333,14.5,11.666666666666666,5.5,2.8333333333333335,1.1666666666666667,2.5,0.16666666666666666,0.16666666666666666,0.36635220125786166,0.5267295597484277
Eibar,14.333333333333334,10.666666666666666,5.0,3.3333333333333335,16.0,12.333333333333334,5.333333333333333,3.6666666666666665,2.3333333333333335,4.0,0.0,0.16666666666666666,0.7232704402515723,0.5351153039832285
Granada,14.0,10.833333333333334,2.8333333333333335,4.0,13.166666666666666,15.666666666666666,5.833333333333333,3.1666666666666665,1.8333333333333333,2.3333333333333335,0.3333333333333333,0.0,0.6226415094339622,0.5330188679245284
Huesca,12.333333333333334,8.666666666666666,3.1666666666666665,2.5,14.5,11.666666666666666,5.5,3.1666666666666665,2.3333333333333335,1.6666666666666667,0.0,0.16666666666666666,0.40880503144654085,0.5377358490566038
La Coruna,13.0,9.8,4.4,2.4,13.0,13.4,4.4,3.8,2.6,2.0,0.0,0.2,0.7861635220125787,0.5663522012578617
Las Palmas,12.333333333333334,8.166666666666666,4.333333333333333,1.8333333333333333,12.833333333333334,17.666666666666668,4.0,3.0,1.6666666666666667,3.6666666666666665,0.3333333333333333,0.16666666666666666,0.8364779874213837,0.4669811320754717
Leganes,11.666666666666666,9.333333333333334,4.166666666666667,3.0,14.666666666666666,16.333333333333332,5.833333333333333,3.8333333333333335,3.5,2.3333333333333335,0.16666666666666666,0.0,0.6666666666666666,0.5870020964360587
Malaga,14.666666666666666,12.5,5.0,4.5,12.5,11.666666666666666,4.0,4.166666666666667,1.6666666666666667,2.1666666666666665,0.16666666666666666,0.0,0.5110062893081762,0.4748427672955975
Mirandes,11.0,13.8,3.4,5.4,18.4,12.6,2.8,5.2,4.2,2.4,0.0,0.0,0.2358490566037736,0.6229559748427673
Santander,16.428571428571427,12.285714285714286,6.142857142857143,4.571428571428571,13.285714285714286,14.0,8.0,4.857142857142857,2.2857142857142856,1.1428571428571428,0.0,0.42857142857142855,0.8050314465408805,0.40161725067385445
Sociedad B,9.6,13.2,4.0,3.6,20.8,14.2,3.0,6.2,3.8,3.2,0.0,0.2,0.1477987421383648,0.5867924528301887
Sp Gijon,12.0,12.571428571428571,4.714285714285714,3.857142857142857,13.428571428571429,11.571428571428571,4.285714285714286,6.285714285714286,1.7142857142857142,2.142857142857143,0.2857142857142857,0.14285714285714285,0.7264150943396226,0.5047169811320754
Valladolid,16.0,8.333333333333334,5.666666666666667,2.5,16.333333333333332,13.5,7.0,2.0,2.1666666666666665,2.6666666666666665,0.0,0.0,0.7987421383647799,0.42662473794549266
Zaragoza,10.666666666666666,13.0,3.0,6.0,13.5,15.333333333333334,3.6666666666666665,5.833333333333333,3.1666666666666665,2.8333333333333335,0.6666666666666666,0.0,0.5723270440251572,0.5170335429769392
