AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Arsenal,10.2,13.6,2.6,4.8,9.2,11.0,4.0,8.0,1.4,1.6,0.0,0.0,0.47389937106918234,0.9276729559748429
Aston Villa,13.6,10.8,3.0,2.0,13.2,10.0,5.0,5.4,2.0,1.8,0.2,0.0,0.49559748427672956,0.6698113207547169
Bournemouth,15.6,11.6,6.8,4.8,10.4,12.6,5.8,5.6,1.6,2.8,0.0,0.0,0.6911949685534591,0.22012578616352202
Brentford,10.6,10.6,2.8,3.8,9.2,12.2,4.4,6.8,1.8,1.8,0.0,0.0,0.30251572327044024,0.5723270440251572
Brighton,11.2,13.0,4.6,4.0,9.8,12.6,2.8,5.4,3.0,3.6,0.2,0.0,0.5446540880503145,0.7169811320754716
Burnley,18.6,9.0,6.8,3.6,9.8,9.2,6.8,3.0,1.2,1.8,0.0,0.0,0.5893081761006289,0.0220125786163522
Chelsea,9.0,13.0,3.0,5.8,12.0,12.2,5.6,4.6,1.8,2.4,0.2,0.4,0.40094339622641506,0.9088050314465409
Crystal Palace,12.8,11.6,4.0,4.0,10.2,11.6,7.0,3.6,1.8,2.4,0.0,0.0,0.5550314465408805,0.330188679245283
Everton,15.75,7.75,4.25,2.0,10.0,10.5,6.25,2.75,0.5,2.0,0.0,0.0,0.5841194968553458,0.2232704402515723
Fulham,12.2,10.6,5.4,3.6,11.2,14.6,4.0,4.2,1.2,2.4,0.0,0.0,0.580817610062893,0.2987421383647799
Leeds,11.4,8.6,4.8,2.8,11.8,9.8,2.8,3.4,0.8,1.4,0.0,0.0,0.3647798742138365,0.2814465408805031
Liverpool,11.6,16.4,4.8,3.8,10.4,10.0,4.4,5.2,1.2,2.4,0.2,0.0,0.38930817610062896,0.9433962264150944
Man City,9.6,12.0,3.4,3.6,11.6,10.6,5.2,3.6,1.6,2.4,0.0,0.0,0.4088050314465409,0.89937106918239
Man United,14.4,13.2,5.4,4.4,10.4,9.8,6.4,4.2,0.8,1.2,0.0,0.0,0.519182389937107,0.6572327044025157
Newcastle,10.4,11.2,4.0,2.6,8.8,11.0,5.6,4.6,1.0,1.2,0.2,0.0,0.3990566037735849,0.8584905660377359
Nott'm Forest,13.4,8.8,5.6,3.6,12.8,11.0,5.4,3.4,1.6,2.0,0.0,0.0,0.5383647798742138,0.2405660377358491
Sunderland,14.8,8.8,5.4,2.2,11.0,8.8,5.4,2.8,1.4,1.8,0.0,0.0,0.4666666666666667,0.119496855345912
Tottenham,11.4,10.6,3.6,4.0,8.8,10.4,4.8,6.8,1.2,2.0,0.2,0.0,0.45723270440251573,0.550314465408805
West Ham,13.4,10.2,4.8,3.6,11.0,11.4,5.6,5.2,1.2,2.0,0.0,0.0,0.47893081761006284,0.06446540880503145
Wolves,13.4,8.8,3.8,2.4,10.0,14.0,8.2,3.8,1.4,2.6,0.0,0.4,0.5081761006289308,0.1918238993710692
