AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Alanyaspor,12.666666666666666,9.666666666666666,5.333333333333333,3.5,16.333333333333332,13.166666666666666,5.333333333333333,2.8333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,0.46278825995807127,0.4056603773584906
Antalyaspor,17.6,6.4,6.0,3.6,11.6,12.2,6.0,3.6,2.8,3.6,0.0,0.0,0.5660377358490566,0.1257861635220126
Besiktas,12.666666666666666,13.5,3.1666666666666665,5.0,11.333333333333334,14.333333333333334,6.833333333333333,4.5,1.6666666666666667,2.8333333333333335,0.16666666666666666,0.0,0.4261006289308176,0.8238993710691824
Buyuksehyr,12.166666666666666,12.833333333333334,3.8333333333333335,4.166666666666667,14.833333333333334,11.166666666666666,4.833333333333333,6.333333333333333,2.8333333333333335,2.1666666666666665,0.5,0.16666666666666666,0.5833333333333334,0.559748427672956
Eyupspor,12.2,13.2,5.4,3.6,17.8,12.8,5.6,3.4,3.2,2.6,0.0,0.0,0.5830188679245283,0.389937106918239
Fenerbahce,11.166666666666666,13.833333333333334,3.1666666666666665,5.166666666666667,12.833333333333334,15.0,4.0,5.333333333333333,2.1666666666666665,3.0,0.6666666666666666,0.16666666666666666,0.42085953878406707,0.9716981132075472
Galatasaray,9.8,15.8,3.2,6.0,11.6,12.2,4.2,3.4,2.0,2.6,0.2,0.0,0.22138364779874214,0.9937106918238994
Gaziantep,18.75,11.75,5.75,4.25,16.5,15.25,3.5,4.25,2.5,3.75,0.0,0.0,0.4803459119496855,0.4339622641509434
Genclerbirligi,16.333333333333332,8.5,4.166666666666667,2.3333333333333335,16.166666666666668,14.0,6.166666666666667,3.5,2.3333333333333335,2.6666666666666665,0.0,0.5,0.5267295597484276,0.1006289308176101
Goztep,13.333333333333334,13.166666666666666,4.833333333333333,4.833333333333333,8.833333333333334,15.5,5.333333333333333,4.5,2.3333333333333335,2.0,0.0,0.16666666666666666,0.3752620545073375,0.6761006289308176
Karagumruk,18.0,12.5,6.75,4.25,13.0,13.5,7.25,4.5,1.0,2.5,0.0,0.5,0.764937106918239,0.01572327044025157
Kasimpasa,13.5,10.5,4.5,2.6666666666666665,10.166666666666666,15.666666666666666,4.5,5.166666666666667,2.0,2.5,0.0,0.16666666666666666,0.3773584905660377,0.6666666666666666
Kayserispor,14.2,13.2,5.8,5.2,13.4,15.8,5.2,5.4,1.8,2.4,0.0,0.2,0.5345911949685535,0.3207547169811321
Kocaelispor,14.5,7.666666666666667,4.333333333333333,2.5,14.333333333333334,17.166666666666668,4.0,4.333333333333333,2.5,2.8333333333333335,0.0,0.16666666666666666,0.6981132075471699,0.1855345911949685
Konyaspor,14.4,12.6,4.4,4.8,14.0,10.2,5.6,5.4,2.2,1.8,0.2,0.0,0.36603773584905663,0.3616352201257861
Rizespor,16.4,9.2,5.6,3.2,12.6,14.4,5.8,2.4,1.8,3.2,0.2,0.0,0.5358490566037736,0.2327044025157233
Samsunspor,17.8,12.0,5.0,4.0,8.8,14.8,7.0,6.8,1.8,3.4,0.2,0.2,0.47735849056603763,0.6792452830188679
Trabzonspor,19.0,10.2,4.0,4.0,16.8,12.2,6.2,3.0,2.6,1.4,0.0,0.4,0.6044025157232704,0.3773584905660378
