AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Bielefeld,15.0,12.4,6.2,3.6,15.8,13.0,6.6,6.0,2.8,2.8,0.0,0.2,0.6455974842767296,0.5330188679245284
Bochum,19.333333333333332,12.333333333333334,7.666666666666667,2.5,8.333333333333334,12.333333333333334,7.333333333333333,6.333333333333333,1.1666666666666667,4.166666666666667,0.0,0.0,0.6365303983228512,0.6415094339622641
Braunschweig,11.333333333333334,11.5,3.8333333333333335,4.166666666666667,15.333333333333334,12.5,5.333333333333333,4.833333333333333,2.5,2.6666666666666665,0.0,0.6666666666666666,0.574685534591195,0.3584905660377358
Darmstadt,14.4,12.8,4.2,4.4,11.0,13.4,4.8,4.0,2.0,1.2,0.0,0.0,0.5474842767295598,0.7924528301886793
Dresden,13.166666666666666,15.333333333333334,4.5,4.166666666666667,13.833333333333334,12.5,4.666666666666667,5.333333333333333,1.3333333333333333,1.8333333333333333,0.16666666666666666,0.16666666666666666,0.5898846960167715,0.5125786163522013
Elversberg,11.6,15.4,3.4,5.0,15.4,10.2,5.6,6.4,4.2,3.4,0.4,0.2,0.5669811320754717,0.789308176100629
Fortuna Dusseldorf,17.4,12.0,5.4,3.6,13.0,10.4,7.0,4.4,3.2,2.6,0.2,0.2,0.630188679245283,0.5660377358490566
Greuther Furth,16.5,13.333333333333334,6.166666666666667,5.333333333333333,11.833333333333334,14.5,5.333333333333333,4.833333333333333,2.1666666666666665,2.6666666666666665,0.16666666666666666,0.0,0.5998427672955975,0.2814465408805031
Hannover,9.833333333333334,13.833333333333334,3.8333333333333335,5.5,14.5,14.666666666666666,3.5,5.0,3.0,2.6666666666666665,0.3333333333333333,0.0,0.46619496855345915,0.8773584905660378
Hertha,14.2,12.0,4.0,3.4,15.6,15.8,6.8,3.8,3.0,2.6,0.2,0.0,0.6421383647798742,0.6352201257861635
Holstein Kiel,13.833333333333334,12.333333333333334,4.0,3.6666666666666665,13.333333333333334,15.166666666666666,5.5,4.0,2.6666666666666665,3.5,0.0,0.0,0.5427148846960167,0.7767295597484277
Kaiserslautern,14.5,11.833333333333334,6.0,4.166666666666667,14.0,12.166666666666666,5.0,4.166666666666667,3.0,2.8333333333333335,0.16666666666666666,0.16666666666666666,0.6383647798742138,0.6383647798742138
Karlsruhe,14.2,15.2,3.8,4.4,9.6,13.2,5.0,5.8,1.4,2.2,0.0,0.0,0.5125786163522013,0.6242138364779874
Magdeburg,18.333333333333332,14.833333333333334,6.0,4.833333333333333,13.333333333333334,11.833333333333334,5.333333333333333,4.833333333333333,1.6666666666666667,3.3333333333333335,0.16666666666666666,0.0,0.6352201257861635,0.5566037735849056
Nurnberg,12.0,14.2,6.2,5.6,15.0,14.4,2.8,6.2,2.6,3.0,0.0,0.0,0.5688679245283018,0.6289308176100629
Paderborn,9.0,15.2,2.8,4.8,11.8,12.6,6.6,4.4,2.4,1.8,0.0,0.0,0.41666666666666663,0.8962264150943395
Preußen Münster,14.6,11.4,5.2,4.2,16.8,13.2,4.6,3.6,2.8,3.4,0.0,0.2,0.6449685534591195,0.5330188679245284
Schalke 04,9.5,12.166666666666666,2.8333333333333335,4.0,11.666666666666666,14.666666666666666,4.333333333333333,4.5,2.3333333333333335,3.0,0.0,0.0,0.6032494758909853,0.7044025157232704
