HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Bielefeld,12.666666666666666,14.5,4.5,4.333333333333333,13.0,15.0,5.333333333333333,4.0,2.5,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.6069182389937107,0.5683962264150944
Bochum,17.8,8.6,5.2,3.6,18.4,10.4,5.8,4.0,4.2,3.6,0.0,0.2,0.6446540880503144,0.6160377358490565
Braunschweig,8.4,19.0,2.8,6.6,13.0,13.8,3.2,6.8,2.8,3.8,0.4,0.0,0.2075471698113208,0.6754716981132075
Darmstadt,14.166666666666666,12.166666666666666,5.5,2.3333333333333335,13.166666666666666,13.833333333333334,5.0,5.5,2.1666666666666665,1.5,0.16666666666666666,0.16666666666666666,0.7955974842767296,0.5395702306079665
Dresden,11.6,15.2,3.2,5.4,11.0,12.4,5.0,6.0,1.6,2.2,0.2,0.0,0.3616352201257861,0.7317610062893082
Elversberg,16.0,10.833333333333334,5.833333333333333,3.6666666666666665,13.333333333333334,14.166666666666666,5.5,4.666666666666667,2.1666666666666665,2.6666666666666665,0.0,0.0,0.7295597484276729,0.6192348008385744
Fortuna Dusseldorf,12.166666666666666,14.0,3.0,5.833333333333333,13.0,12.0,4.5,3.0,2.5,2.1666666666666665,0.0,0.0,0.539308176100629,0.6533018867924528
Greuther Furth,12.2,15.0,4.0,5.6,9.2,15.2,5.2,5.8,1.4,3.6,0.2,0.0,0.3333333333333333,0.6858490566037736
Hannover,16.8,11.8,4.6,3.0,14.2,15.0,7.4,3.2,1.8,3.0,0.0,0.0,0.7735849056603774,0.6135220125786163
Hertha,11.666666666666666,16.666666666666668,4.333333333333333,4.666666666666667,12.5,8.5,5.0,5.666666666666667,2.6666666666666665,1.5,0.16666666666666666,0.0,0.7028301886792453,0.6535639412997903
Holstein Kiel,15.2,11.4,5.8,3.0,13.2,15.4,5.6,4.8,1.8,3.6,0.0,0.2,0.6257861635220126,0.6937106918238994
Kaiserslautern,15.8,12.2,6.6,4.2,12.2,13.6,5.4,3.6,2.8,3.6,0.0,0.0,0.5754716981132075,0.660062893081761
Karlsruhe,12.333333333333334,14.666666666666666,5.833333333333333,4.833333333333333,14.666666666666666,13.5,5.666666666666667,5.0,3.1666666666666665,3.8333333333333335,0.0,0.3333333333333333,0.6289308176100629,0.5699685534591195
Magdeburg,14.6,12.4,4.4,5.0,15.0,11.2,5.2,5.0,2.6,2.4,0.2,0.2,0.6729559748427673,0.5333333333333333
Nurnberg,13.166666666666666,13.333333333333334,4.333333333333333,3.5,10.833333333333334,14.666666666666666,4.833333333333333,5.333333333333333,2.1666666666666665,3.0,0.0,0.16666666666666666,0.440251572327044,0.6834381551362684
Paderborn,17.5,13.166666666666666,6.333333333333333,4.333333333333333,12.666666666666666,12.166666666666666,6.0,4.333333333333333,2.0,2.5,0.16666666666666666,0.16666666666666666,0.8254716981132075,0.5728511530398323
Preußen Münster,12.5,12.833333333333334,4.5,4.666666666666667,16.833333333333332,14.333333333333334,4.166666666666667,5.5,2.6666666666666665,3.1666666666666665,0.0,0.16666666666666666,0.3710691823899371,0.6231656184486373
Schalke 04,15.0,9.4,5.4,2.8,13.2,11.8,7.4,6.4,2.8,2.0,0.2,0.0,0.5566037735849056,0.6254716981132076
