HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Atalanta,17.8,9.0,5.4,2.2,10.0,9.8,8.4,2.8,1.6,1.2,0.0,0.0,0.7908805031446541,0.4915094339622641
Bologna,16.0,7.5,4.25,2.0,13.0,16.5,5.0,2.75,1.75,3.0,0.0,0.25,0.7578616352201258,0.23349056603773585
Cagliari,8.8,12.6,3.0,4.4,16.2,17.8,3.8,5.0,2.4,2.4,0.0,0.0,0.1415094339622641,0.480188679245283
Como,14.6,11.0,5.4,4.2,14.4,16.4,3.0,3.0,2.2,2.8,0.4,0.0,0.7327044025157232,0.38710691823899374
Cremonese,8.6,13.4,3.6,4.2,11.8,12.2,3.4,4.8,2.2,1.0,0.0,0.0,0.0880503144654088,0.47893081761006295
Fiorentina,14.4,11.6,3.6,5.2,15.2,19.0,4.4,5.0,2.6,2.4,0.0,0.2,0.3396226415094339,0.6616352201257862
Genoa,14.2,8.6,3.2,2.6,15.8,14.0,4.4,2.8,2.6,2.4,0.0,0.2,0.3490566037735849,0.4053459119496855
Inter,21.0,8.8,7.2,3.6,13.2,8.6,9.4,3.2,1.0,1.4,0.0,0.2,0.9748427672955975,0.17452830188679247
Juventus,19.6,11.8,7.2,2.8,11.2,10.2,7.8,4.8,1.2,2.4,0.2,0.2,0.720125786163522,0.6044025157232704
Lazio,13.5,13.75,3.75,5.75,11.5,20.25,4.0,4.25,1.5,2.0,0.5,0.0,0.550314465408805,0.5055031446540881
Lecce,9.6,13.2,3.0,4.4,11.8,13.6,4.0,6.0,2.2,1.6,0.0,0.0,0.04716981132075472,0.5933962264150944
Milan,15.833333333333334,10.166666666666666,5.166666666666667,3.1666666666666665,11.333333333333334,13.833333333333334,5.166666666666667,4.333333333333333,1.6666666666666667,2.8333333333333335,0.16666666666666666,0.0,0.8459119496855346,0.4806079664570231
Napoli,14.0,11.8,5.6,2.6,14.4,14.2,6.0,2.8,1.8,1.8,0.0,0.0,0.8333333333333334,0.37735849056603776
Parma,9.4,12.2,2.2,3.6,11.4,14.4,2.6,4.4,1.8,2.0,0.2,0.0,0.1949685534591195,0.5119496855345912
Pisa,9.4,12.6,1.6,3.8,13.2,13.2,3.8,5.6,1.8,1.6,0.0,0.0,0.1446540880503145,0.43427672955974844
Roma,15.8,10.0,5.0,3.4,12.6,17.4,6.0,3.2,1.4,2.8,0.0,0.0,0.7389937106918238,0.4188679245283019
Sassuolo,9.75,13.25,2.75,5.0,13.75,16.5,2.75,5.0,3.0,2.25,0.25,0.0,0.07075471698113207,0.6639150943396227
Torino,11.6,13.8,4.0,4.0,13.8,9.6,4.8,3.4,1.4,1.4,0.0,0.0,0.21069182389937108,0.4490566037735849
Udinese,13.2,9.6,4.2,2.8,12.6,12.0,4.4,4.0,1.8,1.8,0.0,0.0,0.2735849056603774,0.4389937106918239
Verona,13.8,11.0,6.0,3.6,16.2,8.2,5.2,3.2,2.4,2.2,0.0,0.0,0.05345911949685535,0.4569182389937107
